id	ref	cat2	cat3	slug
2693	GON 0030 06	metaux	gongs-tam-tams	gong-thailandais-30-31-cm
2696	GON 0033 06	metaux	gongs-tam-tams	gong-thailandais-33-cm
2697	GON 0037 06	metaux	gongs-tam-tams	gong-thailandais-36-37-cm
2699	GON 0040 06	metaux	gongs-tam-tams	gong-thailandais-40-41cm
2700	GON 0044 06	metaux	gongs-tam-tams	gong-thailandais-44-45-cm
2701	GON 0045 06	metaux	gongs-tam-tams	gong-thailandais-45-cm
2702	GON 0048 06	metaux	gongs-tam-tams	gong-thailandais-48-cm
2704	GON 0050 06	metaux	gongs-tam-tams	gong-thailandais-50-51cm
2705	GON 0052 06	metaux	gongs-tam-tams	gong-thailandais-52-53-cm
2707	GON 0058 06	metaux	gongs-tam-tams	gong-thailandais-58-59-cm
2708	GON 0060 06	metaux	gongs-tam-tams	gong-thailandais-60-61-cm
2715	GON 3001 46	metaux	gongs-tam-tams	gong-d-opera-chinois-ascendant-aigu
2716	GON 3002 46	metaux	gongs-tam-tams	gong-d-opera-chinois-ascendant-grave
2717	GON 3902 26	metaux	gongs-tam-tams	gongs-d-opera-chinois-ascendants-sur-cadre-aigu-et-grave
2718	GON 4230 06	metaux	gongs-tam-tams	gong-pekinois-descendant-aigu
2719	GON 4231 06	metaux	gongs-tam-tams	gong-pekinois-descendant-grave
2720	GON 4331 06	metaux	gongs-tam-tams	gong-pekinois-descendant-medium
2723	GON 7024 06	metaux	cloches-clochettes-asiatiques	cloche-de-temple-hindou
2727	GRE 1003 06	metaux	grelots	bracelet-de-grelots-3-rangees
2729	GRE 2001 06	metaux	grelots	collier-de-grelots
2732	GRE 3005 06	metaux	grelots	grelots-sur-manche-5-pieces
2733	GRE 3007 06	metaux	grelots	grelots-sur-manche-7-pieces
2734	GRE 3009 06	metaux	grelots	grelots-sur-manche-9-pieces
2736	GRE 3125 06	metaux	grelots	grelots-concert-sur-manche-25-pieces
2739	GUI 0040 06	instruments-effets	cabassas-guiros-et-kokiriko	guiro-bois-vernis-grattoir-40-cm
2742	GUI 5201 06	instruments-effets	cabassas-guiros-et-kokiriko	multi-guiro-lp-peigne
2743	GUI 9000 06	instruments-effets	cabassas-guiros-et-kokiriko	peigne-pour-guiro
2751	HEA BO55 06	instruments-peaux	peaux-de-rechange	peau-animal-lp-bongo-d8pouces-5-8
2752	HEA BO56 06	instruments-peaux	peaux-de-rechange	peau-animal-lp-bongo-d7pouces-1-4
2757	HEA CO12 06	instruments-peaux	peaux-de-rechange	peau-animal-conga-12pouces
2759	HEA CU08 06	instruments-peaux	peaux-de-rechange	peau-animal-lp-cuica-8pouces
2866	HER AL32 06	instruments-peaux	peaux-de-rechange	peau-remo-ambassador-blanche-lisse-grosse-caisse-32-pouces
2867	HER AL36 06	instruments-peaux	peaux-de-rechange	peau-remo-ambassador-blanche-lisse-grosse-caisse-36-pouces
2868	HER AL40 06	instruments-peaux	peaux-de-rechange	peau-remo-ambassador-blanche-lisse-grosse-caisse-40-pouces
2869	HER AS06 06	instruments-peaux	peaux-de-rechange	peau-remo-ambassador-sablee-pour-tom-6-pouces
2870	HER AS08 06	instruments-peaux	peaux-de-rechange	peau-remo-ambassador-sablee-pour-tom-8-pouces
2871	HER AS10 06	instruments-peaux	peaux-de-rechange	peau-remo-ambassador-sablee-pour-tom-10-pouces
2873	HER AS12 06	instruments-peaux	peaux-de-rechange	peau-remo-ambassador-sablee-pour-tom-12-pouces
2875	HER AS13 06	instruments-peaux	peaux-de-rechange	peau-remo-ambassador-sablee-pour-tom-13-pouces
2877	HER AS14 06	instruments-peaux	peaux-de-rechange	peau-remo-ambassador-sablee-pour-tom-14-pouces
2878	HER AS14T06	instruments-peaux	peaux-de-rechange	peau-remo-ambassador-sablee-timbre-pour-tom-14-pouces
2879	HER AS15 06	instruments-peaux	peaux-de-rechange	peau-remo-ambassador-sablee-pour-tom-15-pouces
2880	HER AS15T06	instruments-peaux	peaux-de-rechange	peau-remo-ambassador-sablee-timbre-pour-tom-15-pouces
2881	HER AS16 06	instruments-peaux	peaux-de-rechange	peau-remo-ambassador-sablee-pour-tom-16-pouces
2883	HER AS18 06	instruments-peaux	peaux-de-rechange	peau-remo-ambassador-sablee-grosse-caisse-de-batterie-d18pouces
2885	HER AS20 06	instruments-peaux	peaux-de-rechange	peau-remo-ambassador-sablee-pour-tom-20-pouces
2886	HER AS22 06	instruments-peaux	peaux-de-rechange	peau-remo-ambassador-sablee-pour-tom-22-pouces
2887	HER AS24 06	instruments-peaux	peaux-de-rechange	peau-remo-ambassador-sablee-pour-tom-24-pouces
2889	HER AS32 06	instruments-peaux	peaux-de-rechange	peau-remo-ambassador-sablee-pour-grosse-caisse-32-pouces
2890	HER AS34 06	instruments-peaux	peaux-de-rechange	peau-remo-ambassador-sablee-pour-grosse-caisse-34-pouces
2891	HER AS36 06	instruments-peaux	peaux-de-rechange	peau-remo-ambassador-sablee-pour-grosse-caisse-36-pouces
2892	HER AS40 06	instruments-peaux	peaux-de-rechange	peau-remo-ambassador-sablee-pour-grosse-caisse-40-pouces
2893	HER AT06 06	instruments-peaux	peaux-de-rechange	peau-remo-ambassador-transparente-pour-tom-6-pouces
2894	HER AT08 06	instruments-peaux	peaux-de-rechange	peau-remo-ambassador-transparente-pour-tom-8-pouces
